datetime,line,station,enter_04_05,exit_04_05,enter_05_06,exit_05_06,enter_06_07,exit_06_07,enter_07_08,exit_07_08,enter_08_09,exit_08_09,enter_09_10,exit_09_10,enter_10_11,exit_10_11,enter_11_12,exit_11_12,enter_12_13,exit_12_13,enter_13_14,exit_13_14,enter_14_15,exit_14_15,enter_15_16,exit_15_16,enter_16_17,exit_16_17,enter_17_18,exit_17_18,enter_18_19,exit_18_19,enter_19_20,exit_19_20,enter_20_21,exit_20_21,enter_21_22,exit_21_22,enter_22_23,exit_22_23,enter_23_24,exit_23_24,enter_00_01,exit_00_01,enter_01_02,exit_01_02,enter_02_03,exit_02_03,enter_03_04,exit_03_04,updated,ID,gu_x,gu_y,gu
202009,7호선,중계,12,0,7913,1871,20802,4335,53803,12062,53649,18095,26980,9424,17121,7445,15279,7751,15260,9489,14022,11171,12534,11218,13500,12957,14459,15851,14763,22014,13425,37936,7421,39568,5498,21362,4832,18199,4316,14875,1269,8736,5,727,0,0,0,0,0,0,20201003,7호선중계,노원구,노원구,노원구
202009,7호선,중곡,2,0,5112,545,11183,4031,27234,8288,39260,16786,21629,8331,11572,6445,10171,6647,10166,7163,9994,7981,9805,8801,9556,11193,12303,12641,12552,16808,12058,28005,8376,24648,5314,13497,4379,12809,3032,9612,1178,5631,1,191,0,0,0,0,0,0,20201003,7호선중곡,광진구,광진구,광진구
202009,7호선,중화,3,0,8255,888,13451,3708,32640,7272,41816,20196,22086,9501,13230,7249,10742,7855,11708,8582,11261,9143,10623,9870,10509,12719,11771,14829,13782,19746,15744,33342,9968,29322,6173,16883,5845,16235,3738,12240,1437,7148,7,621,0,0,0,0,0,0,20201003,7호선중화,중랑구,중랑구,중랑구
202009,7호선,천왕,57,0,6169,1023,13184,4084,38389,6239,47674,11420,23419,6590,11661,5357,9890,6661,10009,7739,10385,8558,9435,8914,9681,10987,11054,13003,10382,18606,10292,37037,5674,31427,4188,16274,3508,13886,2455,9728,776,5720,18,875,0,0,0,0,0,0,20201003,7호선천왕,구로구,구로구,구로구
202009,7호선,청담,30,0,2207,3427,5638,23835,8239,52288,10942,125399,9067,81272,8320,28809,10223,16225,12753,14853,14020,17201,17045,14347,24546,12846,30432,12341,52278,14054,94726,15538,49308,10699,28106,6996,24976,6636,15869,3610,3912,2596,6,1440,0,1,0,0,0,0,20201003,7호선청담,강남구,강남구,강남구
202009,7호선,태릉입구,134,0,6436,1542,6480,4539,18288,6935,21915,14961,12886,8377,8637,6409,8098,5987,8413,6370,8603,7455,8901,7042,9120,8306,10472,9912,13103,12679,14612,18968,8987,17316,6346,10140,6272,9407,4573,7442,1845,4872,7,2015,0,0,0,0,0,0,20201003,7호선태릉입구,노원구,노원구,노원구
202009,7호선,하계,4,0,7094,1398,20829,5525,58893,13689,59693,21158,30015,14955,19867,11052,18993,11614,19627,14254,18241,16179,17761,16407,19729,18112,20820,21608,21593,27010,18891,48182,11534,48247,8463,25225,8825,22631,6887,17362,1991,11166,2,951,0,0,0,0,0,0,20201003,7호선하계,노원구,노원구,노원구
202009,7호선,학동,1,0,1851,2280,4306,21626,6913,48255,9024,164307,8438,114819,8325,37948,10169,18128,12344,15316,14286,17705,19336,15122,25425,13806,30376,12539,60967,13830,138554,14605,67820,9961,32497,6134,30425,5249,18307,3384,5727,2324,10,176,0,0,0,0,0,0,20201003,7호선학동,강남구,강남구,강남구
202009,8호선,가락시장,6,0,2608,2536,4803,5993,8714,13058,11170,32182,8457,15968,8820,12440,9504,10583,9400,9421,9641,10176,10522,10180,12291,9734,12452,11025,15981,11987,23413,15589,10699,11753,8504,7618,8789,6525,5709,4816,2075,3168,10,1322,0,0,0,0,0,0,20201003,8호선가락시장,송파구,송파구,송파구
202009,8호선,강동구청,35,0,4095,878,9475,4559,26029,12127,33203,31951,17997,12335,10243,7780,9487,7963,9549,7660,9840,9510,9802,9519,10307,10502,11373,13209,15054,17733,23653,29208,9384,22566,6343,12735,5621,11145,3306,8964,1199,4334,3,543,0,0,0,0,0,0,20201003,8호선강동구청,강동구,강동구,강동구
202009,8호선,몽촌토성,3,0,1263,1019,3068,5490,7939,7386,11229,19420,7025,10852,4236,5415,4026,4637,4517,4957,4873,5523,5396,5695,6268,5753,9209,6075,11720,7622,16653,11382,7564,8534,5036,5066,5083,4243,3412,3486,1562,1552,0,190,0,0,0,0,0,0,20201003,8호선몽촌토성,송파구,송파구,송파구
